Method,AUC,TPR @ 0.1% FPR,TPR @ 0.5% FPR,TPR @ 1% FPR
fed-loss,0.7059,0.0667%,0.5333%,0.8222%
fed-conf,0.7049,0.0444%,0.6000%,0.9111%
fed-rescaled,0.7211,0.0444%,0.3556%,0.6667%
delta-diff,0.3432,0.0000%,0.0000%,0.0000%
delta-ratio,0.6995,0.0000%,0.0000%,0.0000%
back-front-diff,0.6456,0.2889%,0.5778%,1.3778%
back-front-ratio,0.7019,0.1778%,0.8222%,1.3556%
01-loss,0.6978,0.0000%,0.0000%,0.0000%
our_loss,0.7811,0.6889%,2.6222%,5.4000%
our_conf,0.7759,1.8000%,6.0667%,8.7333%
our_rescaled,0.7844,0.1111%,0.2889%,0.4444%
