Method,AUC,TPR @ 0.1% FPR,TPR @ 0.5% FPR,TPR @ 1% FPR
fed-loss,0.6173,0.0667%,0.3111%,0.8667%
fed-conf,0.6481,0.1556%,0.6444%,1.0444%
fed-rescaled,0.6912,0.1556%,0.3333%,0.6222%
delta-diff,0.3788,0.0000%,0.0000%,0.0000%
delta-ratio,0.6160,0.0000%,0.0000%,0.0000%
back-front-diff,0.5070,0.0222%,0.4889%,0.8667%
back-front-ratio,0.6991,0.0667%,0.4222%,0.7556%
01-loss,0.7350,0.0000%,0.0000%,0.0000%
our_loss,0.5615,0.1333%,0.7333%,1.5111%
our_conf,0.7441,7.2000%,10.9556%,13.9111%
our_rescaled,0.7673,0.1111%,0.2444%,0.6667%
