round,stage,seconds,client_idx
0,snapshot_eval_global,20.060095,2
0,local_train,19.856593,2
0,snapshot_eval_local,20.045405,2
1,snapshot_eval_global,19.976495,2
1,local_train,19.789720,2
1,snapshot_eval_local,20.189300,2
2,snapshot_eval_global,20.339594,2
2,local_train,19.876622,2
2,snapshot_eval_local,20.006668,2
3,snapshot_eval_global,20.653070,2
3,local_train,19.661846,2
3,snapshot_eval_local,20.186570,2
4,snapshot_eval_global,20.440833,2
4,local_train,19.734822,2
4,snapshot_eval_local,20.104022,2
5,snapshot_eval_global,20.443048,2
5,local_train,19.738498,2
5,snapshot_eval_local,20.509785,2
6,snapshot_eval_global,20.376938,2
6,local_train,19.968096,2
6,snapshot_eval_local,20.369982,2
7,snapshot_eval_global,20.522612,2
7,local_train,19.835837,2
7,snapshot_eval_local,20.557736,2
8,snapshot_eval_global,21.013525,2
8,local_train,19.916701,2
8,snapshot_eval_local,20.227950,2
9,snapshot_eval_global,20.581277,2
9,local_train,19.894854,2
9,snapshot_eval_local,20.389230,2
