dataset,num_parties,train_num,partitioning,dirichlet_alpha,epochs,batch_size,client_optimizer,federated_optimizer,model,learning_rate,weight_decay,data_argu,alg,start_round,target_round,random_seed,client_idx,train_acc,test_acc,train_loss,test_loss,auc,low_01,low_05,low_1,low_2,low_5,target_model_type,comm_round
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-loss,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.533620049382716,0.0006666666666666666,0.0044444444444444444,0.011111111111111112,0.02,0.05422222222222222,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-conf,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5333455555555555,0.0006666666666666666,0.0035555555555555557,0.011333333333333334,0.020666666666666667,0.057777777777777775,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-rescaled,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5329907160493828,0.0006666666666666666,0.005333333333333333,0.011111111111111112,0.021777777777777778,0.05333333333333334,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-diff,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.4840243703703703,0.0013333333333333333,0.003777777777777778,0.008222222222222223,0.013111111111111112,0.042444444444444444,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-ratio,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5215588888888889,0.0013333333333333333,0.003777777777777778,0.011333333333333334,0.02266666666666667,0.057555555555555554,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-diff,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5249493333333333,0.0008888888888888889,0.004,0.0077777777777777776,0.016444444444444446,0.052222222222222225,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-ratio,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5298033580246914,0.0013333333333333333,0.004888888888888889,0.009333333333333334,0.022444444444444444,0.04911111111111111,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,01-loss,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.534944049382716,0.0,0.0044444444444444444,0.011111111111111112,0.021555555555555557,0.056666666666666664,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_loss,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5355367654320988,0.0017777777777777779,0.004222222222222222,0.008,0.02,0.050444444444444445,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_conf,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5448262962962962,0.0006666666666666666,0.0017777777777777779,0.008444444444444444,0.018666666666666668,0.050444444444444445,local,10
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_rescaled,0,9,0,0,0.44851111111111114,0.41504444444444444,1.515767233458013,1.633766531429474,0.5399850864197531,0.0006666666666666666,0.0044444444444444444,0.008,0.021555555555555557,0.05266666666666667,local,10
