target_model_type,target_round,start_round,random_seed,client_idx,stage,alg,seconds
global,9,0,0,0,load_and_prepare_trajectory,,0.524842
global,9,0,0,0,algorithm_and_metrics,fed-loss,0.210930
global,9,0,0,0,algorithm_and_metrics,fed-conf,0.208780
global,9,0,0,0,algorithm_and_metrics,fed-rescaled,0.199668
global,9,0,0,0,algorithm_and_metrics,delta-diff,2.453549
global,9,0,0,0,algorithm_and_metrics,delta-ratio,2.412033
global,9,0,0,0,algorithm_and_metrics,back-front-diff,0.199474
global,9,0,0,0,algorithm_and_metrics,back-front-ratio,0.206626
global,9,0,0,0,algorithm_and_metrics,01-loss,0.201427
global,9,0,0,0,algorithm_and_metrics,our_loss,0.200627
global,9,0,0,0,algorithm_and_metrics,our_conf,0.198805
global,9,0,0,0,algorithm_and_metrics,our_rescaled,0.202297
global,9,0,0,0,full_audit_all_algorithms,,7.360597
local,9,0,0,0,load_and_prepare_trajectory,,0.539244
local,9,0,0,0,algorithm_and_metrics,fed-loss,0.206333
local,9,0,0,0,algorithm_and_metrics,fed-conf,0.198760
local,9,0,0,0,algorithm_and_metrics,fed-rescaled,0.198583
local,9,0,0,0,algorithm_and_metrics,delta-diff,2.471157
local,9,0,0,0,algorithm_and_metrics,delta-ratio,2.490724
local,9,0,0,0,algorithm_and_metrics,back-front-diff,0.203058
local,9,0,0,0,algorithm_and_metrics,back-front-ratio,0.200908
local,9,0,0,0,algorithm_and_metrics,01-loss,0.200466
local,9,0,0,0,algorithm_and_metrics,our_loss,0.201557
local,9,0,0,0,algorithm_and_metrics,our_conf,0.200978
local,9,0,0,0,algorithm_and_metrics,our_rescaled,0.201636
local,9,0,0,0,full_audit_all_algorithms,,7.456179
