model_snapshot,target_round,client_idx,method,training_seconds_through_target_round,full_posthoc_audit_seconds,posthoc_audit_to_training_ratio,note
global,9,0,fed-loss,198.3677,0.7358,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,fed-conf,198.3677,0.7336,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,fed-rescaled,198.3677,0.7245,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,delta-diff,198.3677,2.9784,0.0150,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,delta-ratio,198.3677,2.9369,0.0148,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,back-front-diff,198.3677,0.7243,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,back-front-ratio,198.3677,0.7315,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,01-loss,198.3677,0.7263,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,our_loss,198.3677,0.7255,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,our_conf,198.3677,0.7236,0.0036,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
global,9,0,our_rescaled,198.3677,0.7271,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,fed-loss,198.3677,0.7456,0.0038,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,fed-conf,198.3677,0.7380,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,fed-rescaled,198.3677,0.7378,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,delta-diff,198.3677,3.0104,0.0152,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,delta-ratio,198.3677,3.0300,0.0153,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,back-front-diff,198.3677,0.7423,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,back-front-ratio,198.3677,0.7402,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,01-loss,198.3677,0.7397,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,our_loss,198.3677,0.7408,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,our_conf,198.3677,0.7402,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
local,9,0,our_rescaled,198.3677,0.7409,0.0037,"post-hoc implementation overhead, not the paper's unpublished per-round GPU-time measurement"
