target_model_type,target_round,stage,alg,mean_wall_seconds
global,9,algorithm_and_metrics,01-loss,0.2014
global,9,algorithm_and_metrics,back-front-diff,0.1995
global,9,algorithm_and_metrics,back-front-ratio,0.2066
global,9,algorithm_and_metrics,delta-diff,2.4535
global,9,algorithm_and_metrics,delta-ratio,2.4120
global,9,algorithm_and_metrics,fed-conf,0.2088
global,9,algorithm_and_metrics,fed-loss,0.2109
global,9,algorithm_and_metrics,fed-rescaled,0.1997
global,9,algorithm_and_metrics,our_conf,0.1988
global,9,algorithm_and_metrics,our_loss,0.2006
global,9,algorithm_and_metrics,our_rescaled,0.2023
global,9,full_audit_all_algorithms,,7.3606
global,9,load_and_prepare_trajectory,,0.5248
local,9,algorithm_and_metrics,01-loss,0.2005
local,9,algorithm_and_metrics,back-front-diff,0.2031
local,9,algorithm_and_metrics,back-front-ratio,0.2009
local,9,algorithm_and_metrics,delta-diff,2.4712
local,9,algorithm_and_metrics,delta-ratio,2.4907
local,9,algorithm_and_metrics,fed-conf,0.1988
local,9,algorithm_and_metrics,fed-loss,0.2063
local,9,algorithm_and_metrics,fed-rescaled,0.1986
local,9,algorithm_and_metrics,our_conf,0.2010
local,9,algorithm_and_metrics,our_loss,0.2016
local,9,algorithm_and_metrics,our_rescaled,0.2016
local,9,full_audit_all_algorithms,,7.4562
local,9,load_and_prepare_trajectory,,0.5392
